UniquenessScore,Attendance,WeeksPerformed,NumPerformances
57,1316951.3333333333,122.08333333333333,943.9166666666666
52,1162088.0,111.53846153846153,857.1538461538462
43,1173249.0909090908,130.45454545454547,1014.2727272727273
58,384479.75,41.0,306.0
47,480389.25,59.55,446.25
51,667871.6666666666,70.06666666666666,529.8
41,716330.4,88.6,683.8
56,187908.66666666666,21.166666666666668,137.16666666666666
45,325326.5,48.75,359.75
55,1495218.0,188.75,1477.5
44,902360.5714285715,114.57142857142857,884.2857142857143
53,1997213.8461538462,177.46153846153845,1385.3076923076924
48,865037.5,110.71428571428571,852.7857142857143
37,678218.0,71.2,536.6
49,265159.375,36.125,261.875
64,80669.0,15.0,85.0
38,13207871.0,980.0,7803.0
46,757956.2,91.6,699.7
54,449944.71428571426,59.142857142857146,435.57142857142856
35,3813142.5,368.5,2912.5
50,388687.71428571426,53.42857142857143,390.42857142857144
42,1000096.0,107.0,816.6666666666666
40,240985.0,71.0,512.0
28,721574.0,75.0,561.0
32,160892.0,37.0,264.0
59,159061.0,26.0,174.0
60,54370.0,7.0,23.0
34,43019.0,5.0,17.0
